index,Date,Taxa Selic,IPCA,IGP-M,INPC,Desemprego PNADC
0,2012-01-01,11.0,0.56,0.25,0.51,8.0
1,2012-01-02,11.0,0.56,0.25,0.51,8.0
2,2012-01-03,11.0,0.56,0.25,0.51,8.0
3,2012-01-04,11.0,0.56,0.25,0.51,8.0
4,2012-01-05,11.0,0.56,0.25,0.51,8.0
5,2012-01-06,11.0,0.56,0.25,0.51,8.0
6,2012-01-07,11.0,0.56,0.25,0.51,8.0
7,2012-01-08,11.0,0.56,0.25,0.51,8.0
8,2012-01-09,11.0,0.56,0.25,0.51,8.0
9,2012-01-10,11.0,0.56,0.25,0.51,8.0
10,2012-01-11,11.0,0.56,0.25,0.51,8.0
11,2012-01-12,11.0,0.56,0.25,0.51,8.0
12,2012-01-13,11.0,0.56,0.25,0.51,8.0
13,2012-01-14,11.0,0.56,0.25,0.51,8.0
14,2012-01-15,11.0,0.56,0.25,0.51,8.0
15,2012-01-16,11.0,0.56,0.25,0.51,8.0
16,2012-01-17,11.0,0.56,0.25,0.51,8.0
17,2012-01-18,11.0,0.56,0.25,0.51,8.0
18,2012-01-19,10.5,0.56,0.25,0.51,8.0
19,2012-01-20,10.5,0.56,0.25,0.51,8.0
20,2012-01-21,10.5,0.56,0.25,0.51,8.0
21,2012-01-22,10.5,0.56,0.25,0.51,8.0
22,2012-01-23,10.5,0.56,0.25,0.51,8.0
23,2012-01-24,10.5,0.56,0.25,0.51,8.0
24,2012-01-25,10.5,0.56,0.25,0.51,8.0
25,2012-01-26,10.5,0.56,0.25,0.51,8.0
26,2012-01-27,10.5,0.56,0.25,0.51,8.0
27,2012-01-28,10.5,0.56,0.25,0.51,8.0
28,2012-01-29,10.5,0.56,0.25,0.51,8.0
29,2012-01-30,10.5,0.56,0.25,0.51,8.0
30,2012-01-31,10.5,0.56,0.25,0.51,8.0
31,2012-02-01,10.5,0.45,-0.06,0.39,8.0
32,2012-02-02,10.5,0.45,-0.06,0.39,8.0
33,2012-02-03,10.5,0.45,-0.06,0.39,8.0
34,2012-02-04,10.5,0.45,-0.06,0.39,8.0
35,2012-02-05,10.5,0.45,-0.06,0.39,8.0
36,2012-02-06,10.5,0.45,-0.06,0.39,8.0
37,2012-02-07,10.5,0.45,-0.06,0.39,8.0
38,2012-02-08,10.5,0.45,-0.06,0.39,8.0
39,2012-02-09,10.5,0.45,-0.06,0.39,8.0
40,2012-02-10,10.5,0.45,-0.06,0.39,8.0
41,2012-02-11,10.5,0.45,-0.06,0.39,8.0
42,2012-02-12,10.5,0.45,-0.06,0.39,8.0
43,2012-02-13,10.5,0.45,-0.06,0.39,8.0
44,2012-02-14,10.5,0.45,-0.06,0.39,8.0
45,2012-02-15,10.5,0.45,-0.06,0.39,8.0
46,2012-02-16,10.5,0.45,-0.06,0.39,8.0
47,2012-02-17,10.5,0.45,-0.06,0.39,8.0
48,2012-02-18,10.5,0.45,-0.06,0.39,8.0
49,2012-02-19,10.5,0.45,-0.06,0.39,8.0
50,2012-02-20,10.5,0.45,-0.06,0.39,8.0
51,2012-02-21,10.5,0.45,-0.06,0.39,8.0
52,2012-02-22,10.5,0.45,-0.06,0.39,8.0
53,2012-02-23,10.5,0.45,-0.06,0.39,8.0
54,2012-02-24,10.5,0.45,-0.06,0.39,8.0
55,2012-02-25,10.5,0.45,-0.06,0.39,8.0
56,2012-02-26,10.5,0.45,-0.06,0.39,8.0
57,2012-02-27,10.5,0.45,-0.06,0.39,8.0
58,2012-02-28,10.5,0.45,-0.06,0.39,8.0
59,2012-02-29,10.5,0.45,-0.06,0.39,8.0
60,2012-03-01,10.5,0.21,0.43,0.18,8.0
61,2012-03-02,10.5,0.21,0.43,0.18,8.0
62,2012-03-03,10.5,0.21,0.43,0.18,8.0
63,2012-03-04,10.5,0.21,0.43,0.18,8.0
