"symbol","higher_opening"
"ATMP3","49200.4921875"
"PDGR3","3703.00439453125"
"LMTB34","2351.0"
"OSXB3","1740.0"
"FDXB34","1678.050048828125"
"MMXM3","1498.6331787109375"
"LUPA3","1347.54541015625"
"HONB34","1321.0"
"SLED4","1219.0682373046875"
"ROOF11","1050.0"
"GEOO34","995.0399780273438"
"SLED3","945.01416015625"
"IBMB34","793.1599731445312"
"EEEL4","699.0"
"SBUB34","672.010009765625"
"EEEL3","560.0"
"GSHP3","527.0357666015625"
"APER3","455.8176574707031"
"TELB3","421.5471496582031"
"BMYB34","417.0899963378906"
